Marital status,Application mode,Application order,Course,Previous qualification,Previous qualification (grade),Nationality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target,Daytime/evening attendance
single,1,1,Advertising and Marketing Management,Secondary education,139,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Skilled Workers in Industry, Construction and Craftsmen",130.6,yes,no,no,yes,female,no,18,yes,0,6,6,6,12.33333333,0,0,6,7,5,14.2,0,13.9,-0.3,0.79,Graduate,daytime
single,1,1,Nursing,Secondary education,136,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,119.3,yes,no,no,yes,female,yes,18,yes,0,8,8,7,13.21428571,0,0,8,8,7,13.21428571,0,12.7,3.7,-1.7,Graduate,daytime
single,1,2,Basic Education,Secondary education,133,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Administrative staff,Unskilled Workers,130.2,yes,no,no,yes,female,no,19,yes,0,6,6,0,0,0,0,6,0,0,0,0,12.7,3.7,-1.7,Dropout,daytime
single,53,1,Tourism,Professional higher technical course,110,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",111.8,yes,no,no,yes,female,yes,21,yes,0,6,7,6,10.57142857,0,0,6,8,5,11,0,8.9,1.4,3.51,Graduate,daytime
single,1,1,Veterinary Nursing,Secondary education,149,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",137.1,yes,no,no,yes,female,yes,18,yes,0,5,7,4,13.25,0,0,5,5,5,12,0,10.8,1.4,1.74,Graduate,daytime
single,1,1,Journalism and Communication,Secondary education,127,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Intermediate Level Technicians and Professions,120.7,yes,no,no,yes,female,no,20,yes,0,6,6,5,13.2,0,0,6,7,0,0,0,15.5,2.8,-4.06,Dropout,daytime
single,18,1,Social Service,Secondary education,137,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers",Installation and Machine Operators and Assembly Workers,137.4,yes,no,no,yes,female,no,18,yes,0,6,10,1,12,0,0,6,14,2,11,0,10.8,1.4,1.74,Enrolled,daytime
single,17,2,Nursing,Secondary education,135,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,"Personal Services, Security and Safety Workers and Sellers",Administrative staff,127.3,yes,no,no,yes,female,no,18,yes,0,7,8,7,13.30625,0,0,8,8,8,14.545,0,15.5,2.8,-4.06,Graduate,daytime
single,1,1,Equinculture,Secondary education,137,Portuguese,Higher Education - Degree,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Intermediate Level Technicians and Professions,"Personal Services, Security and Safety Workers and Sellers",136.3,yes,no,no,yes,female,no,20,yes,0,5,8,4,12.5,1,0,5,8,4,12.25,2,10.8,1.4,1.74,Graduate,daytime
single,1,1,Basic Education,Secondary education,140,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",124.6,yes,no,no,yes,female,no,18,yes,0,7,7,6,11.66666667,0,0,7,8,6,13.5,0,16.2,0.3,-0.92,Enrolled,daytime
single,1,3,Animation and Multimedia Design,Secondary education,122,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Installation and Machine Operators and Assembly Workers,120.3,no,no,no,yes,female,yes,21,yes,0,0,0,0,0,0,0,0,0,0,0,0,11.1,0.6,2.02,Graduate,daytime
single,18,4,Oral Hygiene,Secondary education,127,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",121.8,yes,no,no,yes,female,no,20,yes,0,7,14,7,11.4375,0,0,8,9,8,11.425,0,12.7,3.7,-1.7,Enrolled,daytime
single,1,4,Nursing,Secondary education,142,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.," Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers"," Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",125.5,yes,no,no,yes,female,no,18,yes,0,8,12,7,12.85714286,0,0,8,12,7,12.85714286,0,12.7,3.7,-1.7,Graduate,daytime
single,1,4,Advertising and Marketing Management,Secondary education,125,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",114.9,yes,no,no,yes,female,yes,19,yes,0,6,8,6,13.375,0,0,6,7,6,12.28571429,0,11.1,0.6,2.02,Graduate,daytime
single,1,1,Nursing,Secondary education,126,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Intermediate Level Technicians and Professions,"Skilled Workers in Industry, Construction and Craftsmen",123.9,no,no,no,yes,female,no,19,yes,0,7,8,6,13.29666667,0,0,8,9,7,14.11428571,0,11.1,0.6,2.02,Graduate,daytime
single,1,1,Social Service,Secondary education,151,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,157,yes,no,yes,yes,female,yes,18,yes,0,6,8,5,11.6,0,0,6,12,4,11,0,7.6,2.6,0.32,Enrolled,daytime
single,17,2,Social Service,Secondary education,115,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Installation and Machine Operators and Assembly Workers,116.4,yes,no,no,yes,female,no,21,yes,0,6,9,6,11.375,0,0,6,9,6,13.28571429,0,16.2,0.3,-0.92,Graduate,daytime
single,1,1,Veterinary Nursing,Secondary education,138,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,131,yes,no,no,yes,female,no,18,yes,0,5,9,5,12.66666667,2,0,5,7,4,13,0,9.4,-0.8,-3.12,Enrolled,daytime
single,1,1,Management,Secondary education,135,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Unskilled Workers,122.1,yes,no,no,yes,female,no,20,yes,0,5,6,5,12,0,0,5,6,5,12.33333333,0,16.2,0.3,-0.92,Graduate,daytime
single,17,2,Nursing,Secondary education,127,Portuguese,Higher Education - Degree,Higher Education - Degree," Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",Armed Forces Professions,118.8,yes,no,no,yes,male,no,19,yes,0,7,9,6,12.93333333,0,0,7,7,6,13.71666667,0,16.2,0.3,-0.92,Enrolled,daytime
single,44,1,Agronomy,Technological specialization course,150,Portuguese,Higher Education - Master's,Higher Education - Doctorate,Administrative staff,Specialists in Intellectual and Scientific Activities ,150,no,no,no,yes,male,no,21,yes,0,6,15,5,11.85714286,0,0,6,17,5,10.57142857,0,16.2,0.3,-0.92,Enrolled,daytime
single,51,1,Communication Design,Secondary education,125,Portuguese,Professional higher technical course,Higher Education - Degree,Specialists in information and communication technologies (ICT),Specialists in information and communication technologies (ICT),130,yes,no,no,yes,male,no,20,yes,2,6,7,6,12.83333333,0,0,6,9,4,13.4,0,8.9,1.4,3.51,Graduate,daytime
single,1,1,Management,Secondary education,143,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",138.8,no,no,no,no,male,no,18,yes,0,5,9,3,11.33333333,0,0,5,8,2,13.5,0,8.9,1.4,3.51,Enrolled,daytime
single,18,1,Social Service (evening attendance),Secondary education,138,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,"Personal Services, Security and Safety Workers and Sellers",134.5,yes,no,no,yes,female,no,19,yes,0,6,6,6,12.66666667,0,0,6,8,6,14.375,0,12.4,0.5,1.79,Graduate,evening
single,1,1,Management (evening attendance),Secondary education,130,Portuguese,Higher Education - Bachelor's Degree,Basic education 1st cycle (4th/5th year) or equiv.,Intermediate Level Technicians and Professions,Unskilled Workers,131.4,no,no,no,yes,male,no,34,yes,0,5,6,5,12.4,0,0,5,9,5,13.42857143,0,13.9,-0.3,0.79,Graduate,evening
single,39,1,Biofuel Production Technologies,Secondary education,130,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",102.5,no,no,yes,no,male,no,37,yes,0,7,7,0,0,0,0,7,7,1,10,0,8.9,1.4,3.51,Dropout,daytime
single,39,1,Informatics Engineering,11th year of schooling - not completed,133.1,Portuguese,Unknown,Basic education 1st cycle (4th/5th year) or equiv.,Student,Student,128.8,yes,no,no,yes,male,no,43,yes,0,5,0,0,0,0,0,5,0,0,0,0,7.6,2.6,0.32,Dropout,daytime
single,43,1,Management,Secondary education,140,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry","Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",122.9,no,no,no,yes,female,no,55,yes,0,5,10,1,10,0,0,5,8,2,12,2,16.2,0.3,-0.92,Dropout,daytime
divorced,39,1,Management (evening attendance),Secondary education,120,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Intermediate Level Technicians and Professions,113.9,yes,no,no,yes,female,no,39,yes,0,5,8,5,11,0,0,5,5,5,11.6,0,7.6,2.6,0.32,Graduate,evening
single,44,1,Equinculture,Technological specialization course,120,Spanish,Higher Education - Master's,Higher Education - Master's,Intermediate Level Technicians and Professions,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",120,no,no,yes,no,female,no,20,no,2,6,13,3,11.66666667,0,1,6,11,3,12,0,12.4,0.5,1.79,Dropout,daytime
single,1,5,Journalism and Communication,Secondary education,126,Portuguese,Higher Education - Degree,Higher Education - Degree,Specialists in Intellectual and Scientific Activities ,Specialists in Intellectual and Scientific Activities ,121.1,no,no,yes,yes,female,no,18,yes,0,6,6,4,12.75,0,0,5,5,0,0,0,12.7,3.7,-1.7,Dropout,daytime
single,1,2,Management,Secondary education,133,Portuguese,Higher Education - Degree,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Specialists in Intellectual and Scientific Activities ,"Skilled Workers in Industry, Construction and Craftsmen",120.4,yes,no,no,yes,female,no,22,yes,0,5,5,5,14.8,0,0,5,5,5,15.8,0,8.9,1.4,3.51,Graduate,daytime
single,1,6,Nursing,Secondary education,103,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Higher Education - Degree,Specialists in Intellectual and Scientific Activities ,Specialists in Intellectual and Scientific Activities ,100.6,yes,yes,no,yes,female,no,22,yes,0,7,9,5,13.928,0,0,8,9,7,14.34285714,0,11.1,0.6,2.02,Graduate,daytime
single,17,1,Journalism and Communication,Secondary education,120,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",121.4,no,no,no,no,female,no,20,yes,0,6,7,4,13,0,0,6,7,5,13.8,0,12.4,0.5,1.79,Dropout,daytime
single,39,1,Management (evening attendance),Secondary education,133.1,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,109.7,no,no,no,yes,female,no,29,yes,0,5,0,0,0,0,0,5,0,0,0,0,16.2,0.3,-0.92,Dropout,evening
single,17,1,Management (evening attendance),Secondary education,154,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Administrative staff,"Personal Services, Security and Safety Workers and Sellers",134.1,no,no,no,yes,female,no,24,yes,0,5,9,2,11.5,0,0,5,11,3,14.33333333,1,7.6,2.6,0.32,Enrolled,evening
single,17,2,Social Service,Secondary education,130,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,127.6,yes,no,no,yes,female,no,18,yes,0,6,6,6,11.66666667,0,0,6,8,5,13.2,0,11.1,0.6,2.02,Graduate,daytime
single,17,6,Nursing,Secondary education,132,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",132.4,yes,no,no,yes,female,yes,22,yes,0,7,8,6,13.51666667,0,0,8,9,7,13.77142857,0,11.1,0.6,2.02,Graduate,daytime
single,44,1,Social Service (evening attendance),Technological specialization course,130,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,133.4,no,no,no,yes,female,yes,21,yes,3,6,6,6,11.5,0,2,6,7,6,13.28571429,0,12.4,0.5,1.79,Graduate,evening
single,1,1,Social Service,Secondary education,139,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,126.1,no,no,no,yes,female,yes,19,yes,0,6,7,5,12.33333333,0,0,6,7,6,12.83333333,0,12.7,3.7,-1.7,Graduate,daytime
single,39,1,Tourism,Secondary education,130,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",113.5,no,no,no,yes,female,yes,24,yes,0,6,6,6,13.66666667,0,0,6,6,6,14.16666667,0,12.4,0.5,1.79,Graduate,daytime
single,1,1,Nursing,Secondary education,139,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry","Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",121.3,yes,no,no,yes,female,yes,19,yes,0,8,10,6,11.83333333,0,0,8,10,6,11.83333333,0,9.4,-0.8,-3.12,Enrolled,daytime
single,1,1,Journalism and Communication,Secondary education,127,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",121.8,yes,no,no,yes,female,yes,20,yes,0,6,11,4,14,0,0,6,12,3,11,0,9.4,-0.8,-3.12,Enrolled,daytime
single,1,3,Equinculture,Secondary education,167,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Other Situation,Other Situation,159.3,no,no,no,yes,female,no,19,yes,0,5,7,5,14.71428571,0,0,5,5,5,15.8,0,7.6,2.6,0.32,Graduate,daytime
single,39,1,Management (evening attendance),Secondary education,130,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,120,no,no,no,yes,female,no,27,yes,0,5,12,5,10.6,0,0,5,10,5,11,0,9.4,-0.8,-3.12,Dropout,evening
single,1,1,Nursing,Secondary education,130,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",129.1,yes,no,no,yes,female,no,18,yes,0,7,9,7,13.04444444,0,0,8,10,8,13.595,0,15.5,2.8,-4.06,Graduate,daytime
married,7,1,Tourism,Higher education - degree,130,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Higher Education - Degree,Administrative staff,Intermediate Level Technicians and Professions,130,no,no,no,yes,female,no,39,yes,0,6,10,0,0,0,0,6,6,0,0,0,12.4,0.5,1.79,Dropout,daytime
single,39,1,Equinculture,Higher education - degree (1st cycle),129,Portuguese,Higher Education - Degree,Higher Education - Degree,Specialists in Intellectual and Scientific Activities ,Specialists in Intellectual and Scientific Activities ,155.3,yes,no,no,yes,female,no,27,yes,0,6,9,5,13,0,5,11,13,10,12.9,0,12.4,0.5,1.79,Dropout,daytime
single,17,1,Nursing,Secondary education,141,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Armed Forces Professions,139.8,yes,no,no,yes,female,no,18,yes,0,8,8,8,14.935,0,0,8,8,8,14.935,0,9.4,-0.8,-3.12,Graduate,daytime
single,1,3,Animation and Multimedia Design,Secondary education,125,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Administrative staff,Unskilled Workers,115.2,yes,no,no,yes,female,no,18,yes,0,0,0,0,0,0,0,0,0,0,0,0,7.6,2.6,0.32,Enrolled,daytime
single,1,2,Nursing,Secondary education,125,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,114.9,no,no,no,yes,female,no,18,yes,0,7,8,6,13.13333333,0,0,8,12,7,12.22142857,0,16.2,0.3,-0.92,Graduate,daytime
single,44,1,Social Service,Technological specialization course,130,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Unskilled Workers,131.9,no,no,no,yes,female,yes,21,yes,3,6,7,6,12,0,2,6,7,6,12,0,13.9,-0.3,0.79,Graduate,daytime
single,17,3,Animation and Multimedia Design,Secondary education,133,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic education 1st cycle (4th/5th year) or equiv.,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",126,yes,no,no,yes,male,yes,19,yes,0,0,0,0,0,0,0,0,0,0,0,0,10.8,1.4,1.74,Enrolled,daytime
single,17,1,Communication Design,Secondary education,127,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Intermediate Level Technicians and Professions,Administrative staff,130.2,yes,no,no,yes,male,no,19,yes,0,6,6,5,11.4,0,0,6,8,1,10,0,10.8,1.4,1.74,Enrolled,daytime
single,43,1,Communication Design,Secondary education,116,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,120.9,no,no,no,yes,male,no,24,yes,0,6,6,0,0,0,0,6,6,0,0,0,12.7,3.7,-1.7,Enrolled,daytime
divorced,42,1,Nursing,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",126,yes,no,no,yes,male,no,29,yes,2,7,10,5,11.9,0,1,8,10,5,11,0,13.9,-0.3,0.79,Dropout,daytime
single,1,3,Animation and Multimedia Design,Secondary education,139,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers",Intermediate Level Technicians and Professions,128.2,yes,no,no,yes,male,yes,19,yes,0,0,0,0,0,0,0,0,0,0,0,0,10.8,1.4,1.74,Graduate,daytime
single,44,1,Agronomy,Technological specialization course,130,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,130,yes,no,no,yes,male,no,23,yes,0,6,8,6,12.57142857,0,0,6,7,6,12.42857143,0,8.9,1.4,3.51,Graduate,daytime
single,1,3,Management,Secondary education,125,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",120.1,no,no,yes,yes,male,no,19,yes,0,5,8,5,11.2,0,0,5,10,4,10.75,3,16.2,0.3,-0.92,Dropout,daytime
single,39,1,Tourism,Secondary education,160,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Armed Forces Professions,100,no,no,no,yes,male,no,26,yes,0,6,7,6,12,0,0,6,8,5,10.8,0,12.7,3.7,-1.7,Enrolled,daytime
single,17,1,Management,Secondary education,148,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",134,no,no,no,yes,male,no,18,yes,0,5,9,0,0,0,0,5,5,0,0,0,7.6,2.6,0.32,Enrolled,daytime
single,17,1,Nursing,Secondary education,150,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Installation and Machine Operators and Assembly Workers,Administrative staff,130.8,no,no,no,yes,male,no,24,yes,0,7,8,7,11.975,0,0,8,8,8,13.75,0,13.9,-0.3,0.79,Graduate,daytime
